Element,Z,Electronegativity,IonizationPotential,ElectronAffinity,HOMO,LUMO,r_s_orbital,r_p_orbital,r_d_orbital,r_atomic_nonbonded,r_valence_lastorbital,r_covalent,Valence,PeriodicColumn,PeriodicColumn_upto18,NumberUnfilledOrbitals,Polarizability
Th,90,1.3,,,,,,,,,,2.06,4,3,3,8,203.3
Pa,91,1.5,,,,,,,,,,2,5,3,3,21,154.4
U,92,1.38,,,,,,,,,,1.96,6,3,3,20,127.8
Np,93,1.36,,,,,,,,,,1.9,7,3,3,19,150.5
Pu,94,1.28,,,,,,,,,,1.87,8,3,3,8,132.2
Am,95,1.3,,,,,,,,,,1.8,9,3,3,7,131.2
Cm,96,1.3,,,,,,,,,,1.69,10,3,3,16,143.6
Bk,97,1.3,,,,,,,,,,,11,3,3,5,125.3
Cf,98,1.3,,,,,,,,,,,12,3,3,4,121.5
Es,99,1.3,,,,,,,,,,,13,3,3,3,117.5
Fm,100,1.3,,,,,,,,,,,14,3,3,2,113.4
Md,101,1.3,,,,,,,,,,,15,3,3,1,109.4
No,102,1.3,,,,,,,,,,,16,3,3,0,105.4
Lr,103,1.3,,,,,,,,,,,17,3,3,5,
Rf,104,,,,,,,,,,,,18,4,4,8,
Db,105,,,,,,,,,,,,19,5,5,7,42.5
Sg,106,,,,,,,,,,,,20,6,6,6,40.7
Bh,107,,,,,,,,,,,,21,7,7,5,38.4
Hs,108,,,,,,,,,,,,22,8,8,4,36.2
Mt,109,,,,,,,,,,,,23,9,9,3,34.2
Ds,110,,,,,,,,,,,,24,10,10,2,32.3
Rg,111,,,,,,,,,,,,25,11,11,1,30.6
Cn,112,,,,,,,,,,,,26,12,12,0,29
Nh,113,,,,,,,,,,,,,,,,29.9
Fl,114,,,,,,,,,,,,,,,,30.59
Mc,115,,,,,,,,,,,,,,,,
Lv,116,,,,,,,,,,,,,,,,
Ts,117,,,,,,,,,,,,,,,,
Og,118,,,,,,,,,,,,,,,,46.33
